X1,X2,n
472,bfpF56,2
472,aaiC47,1
472,astA13,1
472,aadA1,1
472,aggR11,2
472,stx2181,1
472,tetM34,1
472,aac6I6,1
473,dfrA15,563
473,aac3VI23,6
473,dfrA243,49
473,mcr28,32
473,bfpA82,12
473,sul15,16
473,aph6I29,37
473,dfrA369,71
473,ant2Ia1,6
473,sul22,1
473,qnrB7,69
473,tetA13,8
473,gadph195,2
473,invE132,18
473,ipaH921,10
473,dfrA58,20
473,eae6271,4
473,trpA354,4
473,yjaA12,6
473,sul336,8
473,aadA57,2
473,tetB43,2
473,dfrA1,2
473,chuA24,3
473,stx1301,2
473,aac6I6,1
473,aggR11,1
474,dfrA15,2649
474,gadph195,4
474,qnrB7,273
474,invE132,69
474,dfrA369,144
474,dfrA243,175
474,ipaH921,55
474,tetM34,1
474,uidA616,127
474,aaiC17,41
474,aac3VI23,10
474,mphA18,16
474,aph6I29,165
474,mcr28,98
474,tetA13,34
474,bfpA82,65
474,chuA24,123
474,dfrA58,53
474,uidA160,63
474,qnrS1,15
474,arpA19,44
474,trpA354,54
474,aadA57,21
474,aac6I123,17
474,stx1301,21
474,sul336,31
474,eae6271,14
474,sul15,54
474,tetB43,15
474,stx2181,3
474,sul22,14
474,dfrA1,5
474,ipaH321,3
474,ant2Ia1,23
474,yjaA12,3
474,eae111,1
474,eltA73,5
474,stx23291,3
474,aadA21,1
474,mcr64,4
474,aac3II63,1
474,Tsp19,2
474,aggR11,1
475,mcr28,168
475,dfrA15,3702
475,aph6I29,215
475,qnrB7,564
475,aadA57,7
475,invE132,93
475,tetB43,17
475,dfrA1,9
475,dfrA58,81
475,dfrA243,299
475,dfrA369,415
475,eae6271,29
475,sul336,54
475,uidA616,3
475,tetA13,35
475,sul15,44
475,eltA73,7
475,bfpA82,108
475,ant2Ia1,17
475,trpA354,8
475,ipaH921,80
475,gadph195,13
475,eae111,2
475,stx1301,20
475,chuA24,15
475,yjaA12,13
475,aadA1,4
475,mphA18,2
475,stx23291,6
475,aadA21,1
475,sul22,12
475,stx11581,3
475,aac6I6,3
475,tetM34,3
475,bfpF56,2
475,arpA19,1
475,stx2181,1
475,aaiC17,1
475,Tsp19,1
475,aap223,1
475,mcr64,1
475,aaiC47,1
475,qnrB35,1
475,aac3II63,1
475,aac3VI23,1
475,aac6I123,1
476,bfpA82,74
476,dfrA15,2646
476,dfrA58,54
476,aph6I29,173
476,dfrA243,193
476,mcr28,123
476,qnrB7,355
476,dfrA369,269
476,invE132,59
476,eae6271,22
476,tetA13,33
476,yjaA12,13
476,gadph195,5
476,ipaH921,65
476,sul15,15
476,sul336,23
476,sul22,7
476,tetB43,16
476,ant2Ia1,14
476,eltA73,8
476,stx1301,18
476,aac3VI23,12
476,chuA24,12
476,aadA57,2
476,mcr64,3
476,trpA354,11
476,aac3II63,1
476,dfrA1,5
476,eae111,1
476,estIa94,1
476,stx2181,1
476,stx23291,5
476,aac6I6,1
476,uidA616,2
476,aaiC47,1
476,astA13,1
476,stx11581,1
476,mphA18,2
477,dfrA15,2653
477,tetA13,34
477,ipaH921,74
477,dfrA243,187
477,tetB43,13
477,aph6I29,177
477,qnrB7,382
477,mcr28,128
477,invE132,70
477,dfrA369,272
477,sul336,43
477,bfpA82,66
477,sul15,27
477,eae6271,16
477,dfrA58,54
477,eltA73,7
477,mcr64,3
477,ipaH321,3
477,aac3VI23,10
477,uidA616,5
477,stx1301,10
477,trpA354,6
477,sul22,12
477,dfrA1,7
477,stx23291,7
477,ant2Ia1,16
477,gadph195,6
477,chuA24,5
477,stx11581,1
477,eltA4510,1
477,mphA18,2
477,aac6I6,2
477,yjaA12,5
477,tetM34,1
477,Tsp19,2
477,aadA1,2
477,aggR11,1
477,aadA57,3
478,ipaH921,61
478,dfrA15,2462
478,qnrB7,364
478,sul15,31
478,aph6I29,184
478,mcr28,106
478,tetA13,41
478,dfrA369,248
478,aac3VI23,9
478,sul22,17
478,yjaA12,9
478,dfrA243,182
478,tetB43,9
478,trpA354,8
478,bfpA82,69
478,sul336,30
478,eae6271,23
478,dfrA58,71
478,ant2Ia1,18
478,invE132,51
478,eltA73,5
478,stx1301,14
478,mphA18,1
478,Tsp19,4
478,gadph195,6
478,chuA24,10
478,mcr64,5
478,uidA616,5
478,dfrA1,1
478,stx11581,1
478,aadA57,2
478,stx23291,5
478,astA13,2
478,ipaH321,2
479,dfrA15,3134
479,qnrB7,492
479,ipaH921,66
479,aph6I29,208
479,bfpA82,85
479,invE132,91
479,sul336,50
479,dfrA369,332
479,dfrA243,213
479,eae6271,26
479,mcr28,162
479,tetA13,35
479,trpA354,8
479,sul15,39
479,dfrA58,69
479,yjaA12,5
479,aac3VI23,9
479,stx1301,24
479,ant2Ia1,20
479,stx23291,9
479,gadph195,8
479,stx11581,4
479,uidA616,10
479,Tsp19,4
479,eltA73,5
479,tetB43,12
479,sul22,12
479,bfpF56,1
479,chuA24,12
479,aadA57,6
479,mcr64,2
479,dfrA1,4
479,ipaH321,3
479,aggR11,2
479,aaiC17,2
479,arpA19,1
479,aadA1,1
479,stx2181,1
479,mphA18,1
479,astA13,1
479,aac6I6,1
479,eltA4510,1
480,dfrA15,2882
480,qnrB7,409
480,stx1301,25
480,dfrA369,291
480,stx23291,4
480,aph6I29,197
480,invE132,72
480,mcr28,118
480,ant2Ia1,22
480,bfpA82,76
480,estIa94,1
480,dfrA243,209
480,tetA13,27
480,dfrA58,66
480,sul336,39
480,sul15,27
480,ipaH921,70
480,eae6271,19
480,sul22,7
480,tetB43,13
480,chuA24,11
480,eltA73,7
480,yjaA12,12
480,dfrA1,6
480,stx2181,5
480,stx11581,2
480,gadph195,6
480,tetM34,3
480,trpA354,14
480,aadA57,3
480,aadA1,2
480,uidA616,5
480,aac3VI23,4
480,astA13,1
480,ipaH321,2
480,aaiC17,1
480,eae111,1
481,qnrB7,512
481,dfrA15,3339
481,dfrA369,354
481,ant2Ia1,32
481,aph6I29,217
481,dfrA243,279
481,bfpA82,116
481,sul15,54
481,sul336,43
481,eltA73,12
481,eae6271,23
481,invE132,91
481,mcr28,155
481,tetA13,40
481,aggR11,28
481,ipaH921,83
481,stx1301,20
481,dfrA58,67
481,aac3II63,1
481,yjaA12,15
481,mcr64,5
481,chuA24,7
481,aac6I6,3
481,gadph195,7
481,ipaH321,5
481,aac3VI23,6
481,stx23291,6
481,trpA354,9
481,stx11581,3
481,sul22,10
481,dfrA1,6
481,aac6I123,1
481,uidA616,5
481,tetB43,12
481,astA13,1
481,aadA57,4
481,Tsp19,3
481,aaiC17,1
481,aadA1,2
481,tetM34,1
481,eae111,2
482,qnrB7,907
482,dfrA15,6046
482,aph6I29,405
482,ipaH921,150
482,dfrA369,608
482,bfpA82,160
482,mcr28,253
482,tetB43,23
482,dfrA58,138
482,dfrA243,457
482,invE132,155
482,aadA57,9
482,ant2Ia1,61
482,sul336,86
482,stx11581,5
482,sul15,96
482,stx1301,32
482,eae6271,45
482,yjaA12,26
482,mcr64,6
482,tetA13,74
482,gadph195,17
482,mphA18,4
482,sul22,19
482,aac3VI23,20
482,chuA24,17
482,eltA73,7
482,uidA616,10
482,dfrA1,12
482,trpA354,17
482,stx23291,12
482,aggR11,4
482,eae111,4
482,astA13,2
482,aap223,1
482,aac6I6,2
482,stx2181,1
482,aac6I123,1
482,aaiC17,2
482,Tsp19,5
482,bfpF56,1
482,ipaH321,4
482,estIa94,1
482,arpA19,1
483,qnrB7,886
483,dfrA15,6291
483,dfrA243,444
483,invE132,205
483,aph6I29,428
483,dfrA369,596
483,bfpA82,194
483,tetA13,58
483,mcr28,276
483,sul336,83
483,sul15,68
483,eae6271,44
483,ant2Ia1,45
483,dfrA58,132
483,trpA354,22
483,stx1301,35
483,tetB43,16
483,ipaH921,155
483,aac3VI23,9
483,dfrA1,16
483,eltA73,10
483,aadA57,12
483,aaiC47,1
483,sul22,23
483,uidA616,11
483,stx2181,3
483,chuA24,20
483,yjaA12,15
483,aac6I6,4
483,gadph195,12
483,ipaH321,5
483,aafA83,1
483,eltB12,1
483,stx11581,5
483,tetM34,1
483,stx23291,7
483,mphA18,3
483,Tsp19,1
483,mcr64,4
483,aac6I123,1
483,aac3II63,1
483,aadA21,1
483,astA13,1
483,eae111,1
483,aaiC17,2
484,dfrA369,678
484,dfrA243,489
484,aadA57,8
484,dfrA15,6629
484,bfpA82,210
484,tetA13,76
484,qnrB7,989
484,dfrA58,167
484,eae6271,35
484,mcr28,271
484,invE132,163
484,sul15,96
484,ipaH921,142
484,aph6I29,510
484,mcr64,6
484,trpA354,21
484,ant2Ia1,46
484,stx1301,34
484,dfrA1,11
484,tetB43,19
484,chuA24,23
484,sul336,64
484,eltA73,21
484,yjaA12,19
484,bfpF56,1
484,aac3VI23,15
484,Tsp19,4
484,gadph195,22
484,stx23291,4
484,eae111,3
484,sul22,21
484,uidA616,14
484,stx11581,2
484,stx2181,6
484,tetM34,2
484,aac6I6,3
484,aac3II63,1
484,mphA18,1
484,aaiC17,1
484,astA13,4
484,aggR11,1
484,ipaH321,2
484,aadA1,1
484,eltA4510,1
485,dfrA15,4749
485,trpA354,17
485,qnrB7,621
485,tetA13,42
485,sul336,58
485,dfrA369,552
485,eae6271,36
485,aph6I29,289
485,dfrA243,359
485,dfrA58,102
485,mcr28,213
485,stx2181,2
485,gadph195,4
485,sul15,76
485,invE132,137
485,stx1301,33
485,ant2Ia1,28
485,ipaH921,105
485,bfpA82,135
